dealname,dealstage,close date,associated contact
WvFIEngCeXG,Closed Won,01-14-2020,LjUSdsIWoLV
jHKeaoTBJEl,Pending Response,04-02-2022,YrjKaIThxMv
dZsopMDZkjm,Pending Response,03-26-2021,QcnUhoOSGGh
NaaGTlLqPrL,Closed Won,09-26-2017,mLcxyfxrLlY
mCfNfNveGgy,Pending Contract,03-09-2020,hLSBGCykgcj
qTZoyjGBZQr,Closed Won,01-02-2019,RkphHYHqLyW
ATJfpIoHHnr,Pending Response,01-08-2018,WLrnuqmniZt
avtnKlVWASS,Pending Response,03-18-2021,mnZLjtKAVNK
hQacmFMRPvm,Closed Won,06-06-2018,GSNhkSWKLqY
MkKIYrCtMtD,Closed Won,02-07-2020,tuouvABTshv
KEPCtwAzqjZ,Pending Response,02-19-2020,qtZHVKaHdHE
PksungtInjT,Pending Contract,11-23-2020,SlBFOBGhhbH
tVzWnbgvyPS,Pending Contract,04-20-2019,YaLkOeKwAFW
JtEPLnCmHpd,Closed Won,01-08-2021,PbMgcKmPYTd
evpGkPmDIFJ,Pending Contract,05-21-2020,UweeSUXyTvY
zotARvVpFJv,Closed Won,12-30-2017,ufkabytLrxo
cOWDrfysDJM,Pending Contract,07-03-2019,SSPiBscvjwZ
kUxfMjJhYbH,Pending Response,04-19-2019,tcKpjPuPRAn
ugjpuUJwoci,Pending Contract,03-05-2020,PTkRhsVwLfs
CvBACsIZvNw,Pending Contract,05-28-2020,WLrnuqmniZt
lJHZSRzHsOj,Pending Response,11-16-2020,ulUaZivvVLN
awysIhlvJOl,Pending Contract,09-17-2017,QgZvsmpzxrQ
WDLjiQCuARG,Closed Won,03-09-2021,DBHvWJmKfAP
krgGDveaDBx,Pending Contract,11-17-2019,QzNSrYcgIbD
sVqzbBdXhQG,Pending Response,08-08-2017,AVfUkyQdgqw
TZBEqJsFrDG,Pending Response,10-04-2022,AVfUkyQdgqw
eeodRDaQVYc,Pending Contract,05-18-2018,SpLAUiZdnCa
ywkwXgOEfFO,Pending Response,10-19-2022,PiADhecveap
zFoIuABxPGa,Pending Response,12-05-2022,PMpakmHVHLB
mEHtGJXjWcD,Pending Contract,10-27-2022,nDuvkTfVGqB
KJqQkVYQCfj,Pending Contract,02-19-2017,kDRVKmPtnEm
IzXWtlGXetf,Closed Won,06-07-2019,uTSEbbHToBL
pvzdikFKnAD,Closed Won,12-14-2016,KKVAtVMhWQR
cjhcWBChiod,Pending Response,06-08-2022,AYkIpwlEKdq
mgohfHOrPZw,Pending Contract,02-15-2020,EPnMbIOEhwl
jfCtoHCfwfb,Pending Contract,11-25-2021,cJwmjdrswWw
cxCnnEiDxsT,Closed Won,08-19-2019,kIwaWNkKUys
XXvFnFxnbkh,Closed Won,12-13-2021,QgZvsmpzxrQ
LKEJSBoToBU,Pending Contract,10-07-2017,tJRZzeUGKeD
rICUZhxZfMg,Closed Won,06-14-2020,ZMnKcLKgyke
OSvQfuGigGj,Closed Won,02-04-2017,QPGZDcpuJpu
hznmjHuLliX,Pending Response,03-15-2020,tuouvABTshv
iAeCankiFmK,Pending Contract,03-10-2018,ieLDYTvfEFg
TrYfIjFaVLR,Closed Won,06-06-2020,ldhFEdHTNJY
HVkrlEbciCx,Pending Response,02-14-2018,PTwliWpkxlZ
lpWqUdoDGpT,Closed Won,12-03-2022,CWJnmBzLGYw
ygvsXRnwFph,Pending Response,08-27-2017,LjUSdsIWoLV
LAXzKVHXEPW,Pending Response,02-02-2021,lbyptWlIVxY
pbpYTFFBeTv,Pending Contract,09-30-2018,pHuyGwhxUSC
YRAckqNxmvb,Pending Response,03-11-2019,rfEsUPyFbBm
kfDGRZTkaXE,Closed Won,03-19-2018,mHbSluRJhkE
srpUSbPKDTc,Pending Contract,07-29-2019,xZdSHLXmDda
CqZBHBftFRX,Closed Won,08-23-2022,fVRxHVmGlhZ
nETxpTrOAIa,Pending Response,01-08-2020,SpLAUiZdnCa
JoTtiUPIwgN,Pending Response,09-10-2019,lEixJkhBNTg
bBtWymLGsTg,Closed Won,08-31-2022,QPGZDcpuJpu
mvjUTYSTUpn,Pending Contract,12-24-2018,NobHcZgyogt
VqpeRTPYeJn,Pending Response,01-19-2021,wlvVfSQzRWM
ehmfOgjaITw,Closed Won,09-06-2018,bTXFJhLuJSt
txeWlmNQUcO,Pending Response,03-10-2019,PbMgcKmPYTd
CICROjQXhdK,Pending Response,10-16-2020,wNHSDRrNHeO
hzEojmYRrTs,Pending Contract,04-09-2021,QzNSrYcgIbD
dHKofOTgTbk,Pending Contract,12-12-2022,rTmmxjMmHqY
RAtPjFuyqDc,Closed Won,09-14-2017,AYkIpwlEKdq
kksKedKSOoI,Pending Response,04-09-2018,NjJsGMNsiTO
ZFTBguPGVeM,Pending Response,10-16-2018,AoHEqMuedgt
BqXIzgCYOHI,Pending Contract,10-30-2022,owbTkoupHMY
ADKGMDWAbvB,Closed Won,02-19-2021,BovfwanapbI
orqRVZsULRn,Closed Won,08-27-2017,CzgCIfiOwsh
vnQmJREMtdm,Pending Response,07-08-2017,WeejuexvIod
urxxkkOlqQK,Closed Won,12-23-2020,NVbVeSdTfNv
RXrNpAXAXPx,Pending Response,06-08-2020,yQkXFGeXEWg
CjtEbALbdFH,Pending Contract,10-22-2019,ZOlznEmLyXJ
oOtXxIBEWBU,Closed Won,03-30-2018,NgeRNdrROZh
WffivyodhxK,Pending Response,09-17-2022,PTwliWpkxlZ
eOqPyBmPilA,Pending Response,10-09-2018,vsWVrFSBihs
PIUIFAwibaZ,Pending Contract,02-06-2021,XalHMsyKQuJ
GBprIaFLTCx,Pending Response,06-26-2017,wtDadVffWPU
FwtlURRJQIj,Pending Response,07-09-2020,yqVgGDVCHKW
AOnVSZbDtUE,Pending Contract,10-30-2021,VsGUBDJVMDw
tZeRcWfLffs,Pending Contract,03-06-2022,zRvkGPCAfmk
FGwynvgjIey,Closed Won,04-12-2018,PXArInTwtDq
DaFpkEnmfHc,Closed Won,11-17-2019,zZllyUNErjf
xeRKHTsQuNh,Closed Won,03-29-2018,etBLtqIQCdK
aAabxFcqLen,Pending Response,07-23-2020,lZruyFtQlyE
ZFVulakoxJK,Pending Response,06-05-2017,zZSzDBDgJMb
FHyaoJSZUNz,Closed Won,09-15-2019,PYbOYUAkZbn
WKtckKLANjM,Pending Response,07-28-2019,AIYneyLWUIT
RPjouHaMIsi,Pending Response,08-16-2019,AYkIpwlEKdq
DKmnntSiAUW,Pending Response,01-10-2021,BKmrNoHDEWm
xljSHBxoECn,Pending Contract,10-10-2020,sHAPKtKJYbv
PvXtYXCRtfp,Closed Won,05-27-2017,oaLsuBTybCE
RtUkJZWPFni,Pending Response,07-26-2018,WkkdQdfUkhB
mQKfKalSXUD,Closed Won,12-14-2018,bcPMXDRZeZV
kiFWRZzuYIz,Pending Contract,10-11-2021,XAlYYDtAsuT
hTHHbaTDiIs,Pending Contract,08-19-2022,XcGUdYRRQsP
gHQGbGqDsdD,Pending Response,10-11-2017,sMQWAEHgMtR
NtNjNOUKFNS,Closed Won,12-25-2019,qfNSCxPOSue
DRRTSPtZvVc,Closed Won,10-24-2018,nJtCLuRqAhA
bKYSTZOjQEj,Closed Won,11-19-2017,RHEOBtTOwaR
UOObFvLVrLF,Pending Contract,10-12-2020,HTOifJeTymn
MwVbBZxXglo,Closed Won,11-08-2019,lcayyXAwVJO
imeHfWNvwWl,Closed Won,05-20-2022,FXbniEkTspN
SHeXKqGDvsh,Pending Contract,06-24-2021,aldzZTHGYgF
hfvoQqQCRFm,Closed Won,12-16-2021,BMnWkIVvULw
NwhjdoonldL,Closed Won,05-27-2021,yFANbSxQPTF
hjEPFHEJOhb,Pending Response,05-02-2019,xpVgLEwWIfX
aTJvJQAfbBN,Pending Contract,09-24-2020,BovfwanapbI
asnJKTdNcBC,Closed Won,05-15-2017,VsGUBDJVMDw
jNnYyeArpYN,Closed Won,06-19-2018,abBsxCQQsti
aaAHhRMgofx,Closed Won,12-22-2018,SJlfYRpxkyS
GMxNaACGQOU,Closed Won,06-12-2021,lEixJkhBNTg
ujOadOjVRIs,Closed Won,07-01-2017,IRflmIiLuEy
jbWLKpCjtFt,Closed Won,05-05-2021,lEixJkhBNTg
nWeunrcEIji,Closed Won,10-21-2018,kDRVKmPtnEm
GRWxnqsJDUs,Closed Won,05-18-2017,lEixJkhBNTg
iiPNaFHOBrw,Pending Contract,11-21-2022,khebrpNTmPr
dlcthZpZWEc,Closed Won,01-02-2020,GmJiFRPsWmx
PfKVrTpkGWi,Pending Response,03-01-2021,KzFoEkhdVhQ
wvMljVTRqIG,Pending Contract,06-29-2021,sMQWAEHgMtR
NOTPHGMhiFs,Pending Response,11-14-2018,TxoQFQTIlfJ
inzFahauviM,Closed Won,06-26-2018,TkfxViYoxdO
wBkxZBGHvKw,Pending Contract,01-11-2017,TkPJirllnBI
beLXFsBeKPL,Pending Response,03-06-2020,yBzCkGBIkxh
lXSweUVMWKA,Closed Won,06-06-2021,ulUaZivvVLN
ecGBKlYdhWK,Pending Response,02-02-2020,nplHTuVXwue
hxBYtAqjXPI,Closed Won,09-07-2021,PKISFGLDNuB
VovCqRqUbNk,Closed Won,07-19-2017,ukmhrgzgNvq
HWtHnGnnbvU,Closed Won,03-19-2018,wsBxpXKoCsJ
YWHtvlbzIWy,Pending Contract,07-30-2022,ueOPbgSMNAt
ZuNnNScPedY,Pending Response,07-23-2022,AJfsUSZkYpG
SrDscDwpxGv,Pending Response,02-17-2017,nWasfrZiTBI
veZdYnVysnO,Closed Won,06-13-2021,rmFQGIhXAgK
nFcLxwagbEw,Pending Contract,09-01-2018,OxvHBOKHGhi
cIQjSvUKMYk,Pending Response,09-12-2020,BovfwanapbI
pcobKiOaIuE,Closed Won,09-15-2021,DHnRBirsCIk
TFdAFauQscd,Closed Won,12-08-2018,YaLkOeKwAFW
VtKrOxWZudx,Pending Contract,03-30-2022,ZInkKKbMtUA
wDesRCiphDc,Pending Contract,10-29-2018,zRvkGPCAfmk
zibxlPucyJG,Pending Response,06-11-2021,rTmmxjMmHqY
vGKRbGRDFEY,Closed Won,04-06-2019,nWKHaoBwzVK
fOEWpNTXEVT,Pending Contract,07-07-2021,tIEVOYcfTVS
keicBGqGfuY,Pending Contract,01-02-2021,aYfXKOlBVLi
ohbFgUGFNMR,Pending Response,01-06-2021,vZNqbQNXroM
YijecXideeB,Pending Contract,12-17-2016,iQrgKeaxoue
BeVThubnqSf,Pending Response,07-21-2022,wNemSSKZLoC
VbVvAIPSVuh,Pending Contract,03-24-2018,YqFwMtuEdTp
zsPxjXsKqqV,Pending Response,09-01-2022,QyKijbZMKxx
oTLQOoSUXEa,Closed Won,10-26-2018,YqFwMtuEdTp
klZEBKWpNjm,Closed Won,12-11-2020,SSPiBscvjwZ
PtMGvPCtxjN,Pending Contract,03-27-2019,ezuVqQSbteC
hOHCIpgzvuo,Closed Won,12-23-2018,RLQvWBCsQAj
CEXpQaSPdCs,Pending Contract,04-24-2022,wNemSSKZLoC
JbONnYmlnQY,Pending Contract,02-29-2020,nJtCLuRqAhA
vwAYMVYnEbZ,Pending Response,11-24-2018,ymEkpCehEbF
PfLXAtjewpA,Pending Contract,07-18-2022,DBHvWJmKfAP
AhCbxFJSRIT,Pending Response,12-23-2019,toKkehwmwRp
kciLWlobjfB,Pending Contract,08-18-2021,zRvkGPCAfmk
zLYCMMnttYl,Closed Won,01-18-2022,PqIKmSdjZTT
